window,metric,delta,per_second
full_207s,submitted_actions,8020,40.00
full_207s,included_actions_unique,8020,40.00
full_207s,executed_actions,8020,38.74
full_207s,executed_orders,3208000,15495.65
full_207s,orders_placed_accepted,416,2.01
full_207s,orders_matched_fills,235,1.14
full_207s,orders_resting,270,1.30
full_207s,orders_rejected_margin,3207584,15495.57
full_207s,orders_rejected_book,0,0
full_207s,orders_rejected_cancelled,0,0
full_207s,orders_cancelled_partial_fill,0,0
full_207s,orders_self_trade_cancels,20,0.10
full_207s,orders_rejected_other,0,0
full_207s,blocks_committed,5014,24.22
peak_15s,executed_actions,1020,68.00
peak_15s,executed_orders,408000,27200.00
peak_15s,orders_placed_accepted,0,0
peak_15s,orders_matched_fills,0,0
peak_15s,orders_resting,0,0
peak_15s,orders_rejected_margin,408000,27200.00
peak_15s,blocks_committed,407,27.13
idle_pre_load,blocks_per_s,,31.33
idle_post_load,blocks_per_s,,28.43
idle_cold_health_check,blocks_per_s,,8.40
loaded,blocks_per_s,,24.22
logs,send_queue_full_lines_val0,0,
logs,send_queue_full_lines_val1,0,
logs,send_queue_full_lines_val2,0,
