=== Torus Throughput Benchmark ===
Mode: consensus
Sign mode: eip712 (secp256k1 ecrecover per action)
Duration: 200s
Senders: 20 (offset 60)
Batch size: 400 order(s)/action
Submit batch: 1 action(s)/RPC call
RPC endpoints: 3

[1s] submitted: 20 actions (40/s) | included: 0 actions (0/s) | orders ~0/s | blk: #11112 | 0ms/blk
[1s] submitted: 60 actions (45/s) | included: 40 actions (30/s) | orders ~11974/s | blk: #11139 | 37ms/blk
[2s] submitted: 80 actions (44/s) | included: 40 actions (22/s) | orders ~8705/s | blk: #11139 | 37ms/blk
[3s] submitted: 120 actions (43/s) | included: 100 actions (36/s) | orders ~14248/s | blk: #11169 | 41ms/blk
[3s] submitted: 140 actions (42/s) | included: 100 actions (30/s) | orders ~12064/s | blk: #11184 | 46ms/blk
[4s] submitted: 180 actions (41/s) | included: 160 actions (37/s) | orders ~14755/s | blk: #11201 | 43ms/blk
[5s] submitted: 200 actions (40/s) | included: 180 actions (36/s) | orders ~14527/s | blk: #11235 | 39ms/blk
[6s] submitted: 240 actions (43/s) | included: 200 actions (36/s) | orders ~14284/s | blk: #11255 | 38ms/blk
[6s] submitted: 260 actions (41/s) | included: 240 actions (38/s) | orders ~15192/s | blk: #11281 | 36ms/blk
[7s] submitted: 280 actions (40/s) | included: 280 actions (40/s) | orders ~16046/s | blk: #11308 | 35ms/blk
[7s] submitted: 300 actions (40/s) | included: 280 actions (37/s) | orders ~14969/s | blk: #11308 | 35ms/blk
[8s] submitted: 340 actions (41/s) | included: 320 actions (38/s) | orders ~15387/s | blk: #11315 | 39ms/blk
[9s] submitted: 360 actions (40/s) | included: 358 actions (40/s) | orders ~16006/s | blk: #11362 | 35ms/blk
[10s] submitted: 391 actions (41/s) | included: 381 actions (40/s) | orders ~15975/s | blk: #11384 | 35ms/blk
[10s] submitted: 420 actions (41/s) | included: 401 actions (39/s) | orders ~15754/s | blk: #11390 | 36ms/blk
[11s] submitted: 440 actions (41/s) | included: 421 actions (39/s) | orders ~15653/s | blk: #11411 | 36ms/blk
[11s] submitted: 460 actions (40/s) | included: 461 actions (40/s) | orders ~16137/s | blk: #11437 | 35ms/blk
[12s] submitted: 480 actions (40/s) | included: 461 actions (39/s) | orders ~15457/s | blk: #11437 | 35ms/blk
[13s] submitted: 520 actions (41/s) | included: 501 actions (39/s) | orders ~15731/s | blk: #11445 | 37ms/blk
[13s] submitted: 540 actions (41/s) | included: 521 actions (39/s) | orders ~15655/s | blk: #11486 | 35ms/blk
[14s] submitted: 560 actions (40/s) | included: 561 actions (40/s) | orders ~16091/s | blk: #11513 | 34ms/blk
[14s] submitted: 580 actions (40/s) | included: 561 actions (39/s) | orders ~15532/s | blk: #11513 | 34ms/blk
[15s] submitted: 620 actions (41/s) | included: 601 actions (39/s) | orders ~15746/s | blk: #11516 | 37ms/blk
[16s] submitted: 640 actions (40/s) | included: 621 actions (39/s) | orders ~15668/s | blk: #11560 | 35ms/blk
[16s] submitted: 660 actions (40/s) | included: 621 actions (38/s) | orders ~15187/s | blk: #11560 | 35ms/blk
