epoch_ms,torus_native_actions_processed_total,torus_orders_matched_total,torus_orders_placed_accepted_total,torus_orders_resting_total,torus_orders_rejected_margin_total,torus_orders_rejected_book_total,torus_orders_rejected_cancelled_total,torus_orders_cancelled_partial_fill_total,torus_orders_self_trade_cancels_total,torus_orders_rejected_other_total,torus_blocks_committed_total,torus_block_height
178417414976270400,12,11,39,34,4761,0,0,0,6,0,10812,10812
1784174150436389600,12,11,39,34,4761,0,0,0,6,0,10853,10853
1784174151820278900,12,11,39,34,4761,0,0,0,6,0,10893,10893
1784174153172394200,12,11,39,34,4761,0,0,0,6,0,10929,10929
1784174154540438300,12,11,39,34,4761,0,0,0,6,0,10978,10978
1784174155859062700,12,11,39,34,4761,0,0,0,6,0,11018,11018
1784174157193990100,12,11,39,34,4761,0,0,0,6,0,11056,11056
1784174158542266100,12,11,39,34,4761,0,0,0,6,0,11094,11094
1784174159905759700,52,161,291,206,20509,0,0,0,19,0,11140,11140
1784174161316725900,112,225,408,273,44392,0,0,0,23,0,11161,11161
1784174162789949400,172,244,448,299,68352,0,0,0,26,0,11192,11192
1784174164292379400,212,246,454,303,84346,0,0,0,26,0,11255,11255
1784174165688690200,282,246,455,304,112345,0,0,0,26,0,11291,11291
1784174167121175100,332,246,455,304,132345,0,0,0,26,0,11320,11320
1784174168624080000,392,246,455,304,156345,0,0,0,26,0,11385,11385
1784174169990726300,452,246,455,304,180345,0,0,0,26,0,11422,11422
1784174171440897100,512,246,455,304,188345,0,0,0,26,0,11440,11440
1784174172930485600,572,246,455,304,228345,0,0,0,26,0,11513,11513
1784174174341691400,632,246,455,304,252345,0,0,0,26,0,11539,11539
1784174175794501700,672,246,455,304,268345,0,0,0,26,0,11563,11563
1784174177335275000,732,246,455,304,292345,0,0,0,26,0,11633,11633
1784174178772643100,772,246,455,304,308345,0,0,0,26,0,11657,11657
1784174180177184900,832,246,455,304,332345,0,0,0,26,0,11700,11700
1784174181526922200,912,246,455,304,364345,0,0,0,26,0,11747,11747
1784174182955144700,972,246,455,304,388345,0,0,0,26,0,11793,11793
1784174184351182600,1032,246,455,304,412345,0,0,0,26,0,11819,11819
1784174185891958500,1092,246,455,304,420345,0,0,0,26,0,11850,11850
1784174187424770800,1132,246,455,304,452345,0,0,0,26,0,11905,11905
1784174188797641000,1192,246,455,304,476345,0,0,0,26,0,11949,11949
1784174190177769300,1252,246,455,304,500345,0,0,0,26,0,11993,11993
1784174191525239100,1312,246,455,304,524345,0,0,0,26,0,12037,12037
1784174192907295600,1372,246,455,304,548345,0,0,0,26,0,12081,12081
1784174194354365000,1432,246,455,304,572345,0,0,0,26,0,12125,12125
1784174195752923200,1492,246,455,304,596345,0,0,0,26,0,12153,12153
1784174197166562900,1532,246,455,304,612345,0,0,0,26,0,12197,12197
1784174198514909500,1592,246,455,304,636345,0,0,0,26,0,12241,12241
1784174199886043800,1652,246,455,304,660345,0,0,0,26,0,12286,12286
1784174201257287500,1692,246,455,304,676345,0,0,0,26,0,12315,12315
1784174202620151300,1752,246,455,304,700345,0,0,0,26,0,12361,12361
1784174203955148200,1812,246,455,304,724345,0,0,0,26,0,12405,12405
1784174205356059000,1852,246,455,304,740345,0,0,0,26,0,12431,12431
1784174206739648700,1912,246,455,304,764345,0,0,0,26,0,12476,12476
1784174208119669300,1972,246,455,304,788345,0,0,0,26,0,12522,12522
1784174209499325700,2032,246,455,304,812345,0,0,0,26,0,12561,12561
1784174210867128200,2072,246,455,304,828345,0,0,0,26,0,12590,12590
1784174212320658600,2132,246,455,304,852345,0,0,0,26,0,12636,12636
1784174213755779300,2172,246,455,304,868345,0,0,0,26,0,12665,12665
1784174215127135300,2172,246,455,304,868345,0,0,0,26,0,12665,12665
1784174216518168400,2172,246,455,304,868345,0,0,0,26,0,12665,12665
1784174217989124900,2172,246,455,304,868345,0,0,0,26,0,12665,12665
1784174219363719100,2172,246,455,304,868345,0,0,0,26,0,12665,12665
1784174220751805300,2172,246,455,304,868345,0,0,0,26,0,12665,12665
1784174222117937500,2172,246,455,304,868345,0,0,0,26,0,12665,12665
1784174223451628000,2172,246,455,304,868345,0,0,0,26,0,12665,12665
1784174224856064100,2487,246,455,304,994345,0,0,0,26,0,12675,12675
1784174226345163000,2692,246,455,304,1076345,0,0,0,26,0,12726,12726
1784174227820990200,2772,246,455,304,1108345,0,0,0,26,0,12782,12782
1784174229229761700,2822,246,455,304,1128345,0,0,0,26,0,12804,12804
1784174230695079900,2872,246,455,304,1148345,0,0,0,26,0,12836,12836
1784174232159469300,2932,246,455,304,1172345,0,0,0,26,0,12899,12899
1784174233518552900,2992,246,455,304,1196345,0,0,0,26,0,12942,12942
1784174234898861800,3032,246,455,304,1212345,0,0,0,26,0,12968,12968
1784174236276523600,3092,246,455,304,1236345,0,0,0,26,0,13013,13013
1784174237832827500,3172,246,455,304,1268345,0,0,0,26,0,13067,13067
1784174239270266800,3212,246,455,304,1284345,0,0,0,26,0,13105,13105
1784174240648457600,3272,246,455,304,1308345,0,0,0,26,0,13149,13149
1784174241984909600,3312,246,455,304,1324345,0,0,0,26,0,13173,13173
1784174243367273500,3372,246,455,304,1348345,0,0,0,26,0,13219,13219
1784174244735288400,3432,246,455,304,1372345,0,0,0,26,0,13263,13263
1784174246147320200,3492,246,455,304,1396345,0,0,0,26,0,13310,13310
1784174247516054700,3552,246,455,304,1420345,0,0,0,26,0,13353,13353
1784174248933685900,3612,246,455,304,1444345,0,0,0,26,0,13385,13385
1784174250350382200,3672,246,455,304,1468345,0,0,0,26,0,13417,13417
1784174251815983800,3732,246,455,304,1492345,0,0,0,26,0,13449,13449
1784174253317607300,3752,246,455,304,1500345,0,0,0,26,0,13489,13489
1784174254789853700,3852,246,455,304,1540345,0,0,0,26,0,13559,13559
1784174256185456300,3896,246,455,304,1557945,0,0,0,26,0,13595,13595
1784174257592328700,3932,246,455,304,1572345,0,0,0,26,0,13626,13626
1784174258937934800,3992,246,455,304,1596345,0,0,0,26,0,13669,13669
1784174260378184600,4032,246,455,304,1612345,0,0,0,26,0,13695,13695
1784174261845497100,4132,246,455,304,1652345,0,0,0,26,0,13760,13760
1784174263270421400,4188,246,455,304,1674745,0,0,0,26,0,13774,13774
1784174264894868900,4252,246,455,304,1700345,0,0,0,26,0,13852,13852
1784174266311333300,4312,246,455,304,1724345,0,0,0,26,0,13883,13883
1784174267698459100,4352,246,455,304,1740345,0,0,0,26,0,13921,13921
1784174269185936900,4412,246,455,304,1764345,0,0,0,26,0,13972,13972
1784174270539742300,4472,246,455,304,1788345,0,0,0,26,0,14016,14016
1784174271929525600,4532,246,455,304,1812345,0,0,0,26,0,14048,14048
1784174273333794600,4592,246,455,304,1836345,0,0,0,26,0,14077,14077
1784174274855642200,4632,246,455,304,1852345,0,0,0,26,0,14131,14131
1784174276248345300,4704,246,455,304,1881145,0,0,0,26,0,14175,14175
1784174277634249000,4752,246,455,304,1900345,0,0,0,26,0,14203,14203
178417427958040100,4812,246,455,304,1924345,0,0,0,26,0,14253,14253
1784174280417841200,4872,246,455,304,1948345,0,0,0,26,0,14297,14297
1784174281816929800,4932,246,455,304,1972345,0,0,0,26,0,14341,14341
1784174283200662600,4986,246,455,304,1993945,0,0,0,26,0,14364,14364
1784174284624629200,5032,246,455,304,2012345,0,0,0,26,0,14412,14412
178417428640241500,5092,246,455,304,2036345,0,0,0,26,0,14460,14460
1784174287434705700,5152,246,455,304,2060345,0,0,0,26,0,14489,14489
1784174288896616200,5192,246,455,304,2076345,0,0,0,26,0,14540,14540
1784174290292142200,5272,246,455,304,2108345,0,0,0,26,0,14588,14588
1784174291668328000,5292,246,455,304,2116345,0,0,0,26,0,14608,14608
178417429335766500,5352,246,455,304,2140345,0,0,0,26,0,14653,14653
1784174294493120700,5432,246,455,304,2172345,0,0,0,26,0,14702,14702
1784174295914908300,5492,246,455,304,2196345,0,0,0,26,0,14750,14750
1784174297340396700,5552,246,455,304,2220345,0,0,0,26,0,14789,14789
1784174298731342200,5612,246,455,304,2244345,0,0,0,26,0,14814,14814
1784174300156753600,5652,246,455,304,2260345,0,0,0,26,0,14865,14865
1784174301519159900,5712,246,455,304,2284345,0,0,0,26,0,14909,14909
1784174302901725500,5772,246,455,304,2308345,0,0,0,26,0,14955,14955
1784174304386491500,5772,246,455,304,2308345,0,0,0,26,0,14955,14955
1784174305784537000,5772,246,455,304,2308345,0,0,0,26,0,14955,14955
