ts,actions_processed,placed_accepted,matched,resting,rej_margin,rej_book,rej_cancelled,rej_other,self_trade_cancels,cancelled_partial_fill,blocks_committed,block_height,exec_queue_depth
1784193307,0,0,0,0,0,0,0,0,0,0,1238,1238,0
1784193308,0,0,0,0,0,0,0,0,0,0,1263,1263,0
1784193309,0,0,0,0,0,0,0,0,0,0,1317,1317,0
1784193311,0,0,0,0,0,0,0,0,0,0,1365,1365,0
1784193312,0,0,0,0,0,0,0,0,0,0,1365,1365,0
1784193313,0,0,0,0,0,0,0,0,0,0,1365,1365,0
1784193314,0,0,0,0,0,0,0,0,0,0,1366,1366,0
1784193315,0,0,0,0,0,0,0,0,0,0,1366,1366,0
1784193316,0,0,0,0,0,0,0,0,0,0,1366,1366,0
1784193317,0,0,0,0,0,0,0,0,0,0,1366,1366,0
1784193319,0,0,0,0,0,0,0,0,0,0,1392,1392,0
1784193320,0,0,0,0,0,0,0,0,0,0,1440,1440,0
1784193321,0,0,0,0,0,0,0,0,0,0,1490,1490,0
1784193323,0,0,0,0,0,0,0,0,0,0,1525,1525,0
1784193324,0,0,0,0,0,0,0,0,0,0,1574,1574,0
1784193325,0,0,0,0,0,0,0,0,0,0,1587,1587,0
1784193327,0,0,0,0,0,0,0,0,0,0,1645,1645,0
1784193328,0,0,0,0,0,0,0,0,0,0,1692,1692,0
1784193330,0,0,0,0,0,0,0,0,0,0,1715,1715,0
1784193331,0,0,0,0,0,0,0,0,0,0,1766,1766,0
1784193332,0,0,0,0,0,0,0,0,0,0,1804,1804,0
1784193334,0,0,0,0,0,0,0,0,0,0,1856,1856,0
1784193335,0,0,0,0,0,0,0,0,0,0,1889,1889,0
1784193336,0,0,0,0,0,0,0,0,0,0,1922,1922,0
1784193338,0,0,0,0,0,0,0,0,0,0,1948,1948,0
1784193340,0,0,0,0,0,0,0,0,0,0,1976,1976,2
1784193341,0,0,0,0,0,0,0,0,0,0,2005,2005,1
1784193343,0,0,0,0,0,0,0,0,0,0,2038,2038,0
1784193344,0,0,0,0,0,0,0,0,0,0,2065,2065,0
1784193346,0,0,0,0,0,0,0,0,0,0,2092,2092,0
1784193348,0,0,0,0,0,0,0,0,0,0,2117,2117,0
1784193349,0,0,0,0,0,0,0,0,0,0,2146,2146,0
1784193351,0,0,0,0,0,0,0,0,0,0,2173,2173,0
1784193353,0,0,0,0,0,0,0,0,0,0,2197,2197,0
1784193354,0,0,0,0,0,0,0,0,0,0,2215,2215,0
1784193356,0,0,0,0,0,0,0,0,0,0,2236,2236,0
1784193358,0,0,0,0,0,0,0,0,0,0,2258,2258,0
1784193360,0,0,0,0,0,0,0,0,0,0,2276,2276,0
1784193362,0,0,0,0,0,0,0,0,0,0,2294,2294,0
1784193364,0,0,0,0,0,0,0,0,0,0,2312,2312,0
1784193366,0,0,0,0,0,0,0,0,0,0,2329,2329,0
