ts,actions_processed,placed_accepted,matched,resting,rej_margin,rej_book,rej_cancelled,rej_other,self_trade_cancels,cancelled_partial_fill,blocks_committed,block_height,exec_queue_depth
1784509686,0,0,0,0,0,0,0,0,0,0,28,28,0
1784509687,0,0,0,0,0,0,0,0,0,0,82,82,0
1784509689,1,0,0,0,0,0,0,0,0,0,100,100,0
1784509691,67,400,0,400,0,0,0,0,0,0,101,101,1
1784509693,114,42400,32592,25594,0,0,0,0,0,0,102,102,1
1784509695,114,42400,32592,25594,0,0,0,0,0,0,103,103,0
1784509696,170,42400,32592,25594,0,0,0,0,0,0,103,103,1
1784509698,246,63200,48833,38008,0,0,0,0,0,0,104,104,4
1784509700,246,92000,71371,55210,0,0,0,0,0,0,104,104,4
1784509702,309,114800,89512,68750,0,0,0,0,0,0,105,105,3
1784509704,312,116000,90381,69503,0,0,0,0,0,0,108,108,0
1784509706,361,132180,102682,79386,0,0,0,0,0,0,109,109,5
1784509708,361,135600,105226,81492,0,0,0,0,0,0,109,109,7
1784509710,382,143600,111843,86113,0,0,0,0,0,0,112,112,4
1784509712,437,164000,128081,98275,0,0,0,0,0,0,114,114,2
1784509715,449,168400,131543,100896,0,0,0,0,0,0,115,115,1
1784509718,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509721,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509723,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509725,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509728,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509731,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509733,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509735,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509738,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509740,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509742,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509745,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509747,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509750,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509753,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509755,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509758,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509761,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509763,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509766,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509769,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509771,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509773,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509776,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509779,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509781,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509784,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509786,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509789,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509791,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509793,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509796,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509798,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509801,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509803,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509806,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509809,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509811,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509814,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509816,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509818,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509820,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509822,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509825,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509827,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509829,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509831,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509834,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509836,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509839,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509841,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509843,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509846,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509849,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509851,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509853,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509856,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509858,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509861,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509863,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509866,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509868,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509870,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509873,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509875,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509878,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509881,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509883,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509885,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509887,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509890,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509892,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509894,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509897,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509899,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509901,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509904,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509906,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509909,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509912,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509914,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509916,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509919,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509921,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509924,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509927,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509929,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
1784509931,449,168400,131543,100896,0,0,0,0,0,0,116,116,0
