ts,actions_processed,placed_accepted,matched,resting,rej_margin,rej_book,rej_cancelled,rej_other,self_trade_cancels,cancelled_partial_fill,blocks_committed,block_height,exec_queue_depth
1784510240,0,0,0,0,0,0,0,0,0,0,92,92,0
1784510241,0,0,0,0,0,0,0,0,0,0,109,109,0
1784510243,9,3200,1891,2248,0,0,0,0,0,0,119,119,2
1784510246,40,6400,4394,4116,0,0,0,0,0,0,122,122,1
1784510248,52,19200,14181,11860,0,0,0,0,0,0,123,123,3
1784510250,108,33044,25373,20053,0,0,0,0,0,0,125,125,1
1784510252,129,42676,32870,25880,0,0,0,0,0,0,126,126,1
1784510254,200,75600,59050,45452,0,0,0,0,0,0,127,127,3
1784510255,200,75600,59050,45452,0,0,0,0,0,0,127,127,8
1784510257,246,84400,66040,50641,0,0,0,0,0,0,135,135,3
1784510259,270,102400,80133,61478,0,0,0,0,0,0,136,136,5
1784510261,277,105200,82114,63266,0,0,0,0,0,0,138,138,4
1784510263,300,114400,89081,68843,0,0,0,0,0,0,140,140,5
1784510265,336,128000,100172,76804,0,0,0,0,0,0,143,143,3
1784510267,343,130800,102324,78509,0,0,0,0,0,0,145,145,1
1784510269,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510271,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510273,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510275,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510278,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510280,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510282,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510285,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510287,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510290,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510292,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510294,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510296,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510299,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510301,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510304,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510306,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510308,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510311,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510314,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510316,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510319,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510321,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510324,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510326,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510329,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510331,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510334,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510336,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510339,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510342,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510344,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510347,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510349,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510352,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510354,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510357,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510359,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510362,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510364,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510367,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510369,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510372,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510374,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510377,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510379,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510382,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510384,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510387,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510389,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510392,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510394,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510396,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510399,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510401,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510404,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510406,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510409,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510411,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510414,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510416,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510418,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510421,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510423,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510426,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510429,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510431,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510433,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510436,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510438,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510440,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510443,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510446,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510448,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510450,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510452,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510455,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510457,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510460,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510462,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
1784510464,343,130800,102324,78509,0,0,0,0,0,0,146,146,0
