ts,actions_processed,placed_accepted,matched,resting,rej_margin,rej_book,rej_cancelled,rej_other,self_trade_cancels,cancelled_partial_fill,blocks_committed,block_height,exec_queue_depth
1784469524,0,0,0,0,0,0,0,0,0,0,677,677,0
1784469526,0,0,0,0,0,0,0,0,0,0,722,722,0
1784469527,9,2400,1329,1718,0,0,0,0,0,0,729,729,1
1784469530,9,2400,1329,1718,0,0,0,0,0,0,730,730,0
1784469532,9,2400,1329,1718,0,0,0,0,0,0,730,730,0
1784469534,28,10000,7326,6219,0,0,0,0,0,0,730,730,2
1784469536,211,42560,32840,25613,0,0,0,0,0,0,732,732,4
1784469538,311,114078,89020,68474,0,0,0,0,0,0,733,733,3
1784469540,411,118400,92582,71002,0,0,0,0,0,0,734,734,2
1784469542,459,169286,132284,101540,0,0,0,0,0,0,735,735,1
1784469543,459,174800,136570,104794,0,0,0,0,0,0,736,736,0
1784469545,459,174800,136570,104794,0,0,0,0,0,0,736,736,0
1784469547,471,174800,136570,104794,0,0,0,0,0,0,736,736,1
1784469549,571,217600,170777,130098,0,0,0,0,0,0,737,737,5
1784469551,671,255949,201609,152697,0,0,0,0,0,0,738,738,10
1784469553,771,285794,225673,170313,0,0,0,0,0,0,739,739,9
1784469556,786,302800,238793,180656,0,0,0,0,0,0,740,740,8
1784469559,910,311600,245987,185732,0,0,0,0,0,0,742,742,6
1784469561,966,350800,277339,208914,0,0,0,0,0,0,743,743,5
1784469564,988,372800,295156,221820,0,0,0,0,0,0,744,744,4
1784469567,1011,389900,308921,231978,0,0,0,0,0,0,745,745,3
1784469570,1016,392800,311231,233686,0,0,0,0,0,0,747,747,1
1784469572,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469574,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469577,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469579,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469581,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469583,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469585,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469587,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469589,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469591,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469594,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469596,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469598,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469601,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469603,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469606,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469608,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469610,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469612,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469614,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469616,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469618,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469620,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469622,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469625,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469627,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469629,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469631,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469633,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469635,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469637,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469639,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469641,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469643,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469645,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469647,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469649,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469651,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469654,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469656,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469658,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469660,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469663,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469666,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469668,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469670,1016,392800,311231,233686,0,0,0,0,0,0,748,748,0
1784469672,1096,415200,328634,247190,0,0,0,0,0,0,748,748,4
1784469675,1196,415200,328634,247190,0,0,0,0,0,0,749,749,6
1784469677,1196,450000,356589,267771,0,0,0,0,0,0,749,749,10
1784469680,1296,484000,383748,287909,0,0,0,0,0,0,750,750,14
1784469682,1296,484000,383748,287909,0,0,0,0,0,0,751,751,16
1784469685,1396,520400,412871,309480,0,0,0,0,0,0,751,751,21
1784469687,1396,520400,412871,309480,0,0,0,0,0,0,751,751,25
1784469689,1496,552000,435292,329611,0,0,0,0,0,0,752,752,28
1784469692,1496,552000,435292,329611,0,0,0,0,0,0,753,753,31
1784469695,1596,589600,465448,351545,0,0,0,0,0,0,753,753,34
1784469697,1596,589600,465448,351545,0,0,0,0,0,0,753,753,38
1784469701,1696,624000,493297,371786,0,0,0,0,0,0,754,754,40
1784469703,1796,624000,493297,371786,0,0,0,0,0,0,755,755,41
1784469706,1796,656800,519916,391130,0,0,0,0,0,0,755,755,48
1784469709,1796,656800,519916,391130,0,0,0,0,0,0,756,756,51
1784469711,1896,669605,530319,398673,0,0,0,0,0,0,756,756,55
1784469714,1896,694800,550709,413378,0,0,0,0,0,0,756,756,66
1784469716,1996,725394,575565,431376,0,0,0,0,0,0,757,757,66
1784469719,1996,727600,577323,432676,0,0,0,0,0,0,757,757,66
1784469722,2096,727600,577323,432676,0,0,0,0,0,0,758,758,65
1784469724,2096,765600,607725,455159,0,0,0,0,0,0,758,758,65
1784469726,2132,770493,611603,458097,0,0,0,0,0,0,759,759,64
1784469729,2132,774800,615045,460660,0,0,0,0,0,0,760,760,63
1784469731,2181,790000,626936,469813,0,0,0,0,0,0,760,760,63
1784469733,2226,804400,638380,478383,0,0,0,0,0,0,761,761,62
1784469736,2265,804400,638380,478383,0,0,0,0,0,0,762,762,61
