ts,actions_processed,placed_accepted,matched,resting,rej_margin,rej_book,rej_cancelled,rej_other,self_trade_cancels,cancelled_partial_fill,blocks_committed,block_height,exec_queue_depth
1784478041,0,0,0,0,0,0,0,0,0,0,685,685,0
1784478043,0,0,0,0,0,0,0,0,0,0,688,688,0
1784478045,6,2000,1348,1303,0,0,0,0,0,0,691,691,0
1784478047,45,15600,11415,9632,0,0,0,0,0,0,692,692,0
1784478048,83,30000,22065,18449,0,0,0,0,0,0,693,693,2
1784478050,237,87362,67703,52484,0,0,0,0,0,0,694,694,2
1784478052,252,94000,72475,56723,0,0,0,0,0,0,696,696,0
1784478054,252,94000,72475,56723,0,0,0,0,0,0,696,696,0
1784478056,252,94000,72475,56723,0,0,0,0,0,0,696,696,0
1784478057,252,94000,72475,56723,0,0,0,0,0,0,696,696,0
1784478059,285,106000,82122,63799,0,0,0,0,0,0,698,698,4
1784478062,300,112000,87071,67271,0,0,0,0,0,0,701,701,3
1784478064,400,148000,115863,88592,0,0,0,0,0,0,701,701,3
1784478066,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478069,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478072,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478074,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478076,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478078,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478080,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478082,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478084,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478087,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478088,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478090,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478093,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478095,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478097,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478099,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478101,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478103,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478106,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478108,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478110,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478112,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478114,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478116,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478119,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478121,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478123,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478126,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478128,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478130,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478132,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478134,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478137,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478139,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478141,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478143,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478145,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478147,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478150,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478152,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478154,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478156,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478159,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478161,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478163,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478165,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478167,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478170,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478172,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478175,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478178,456,170400,134063,101786,0,0,0,0,0,0,704,704,0
1784478180,456,170400,134063,101786,0,0,0,0,0,0,705,705,0
1784478182,556,200400,156305,120471,0,0,0,0,0,0,706,706,5
1784478185,656,237600,184846,143013,0,0,0,0,0,0,706,706,8
1784478187,756,237600,184846,143013,0,0,0,0,0,0,707,707,10
1784478190,856,273600,213445,164405,0,0,0,0,0,0,708,708,15
1784478192,856,305600,239826,183017,0,0,0,0,0,0,708,708,17
1784478194,956,305600,239826,183017,0,0,0,0,0,0,709,709,16
1784478196,1056,347716,272724,208279,0,0,0,0,0,0,710,710,18
1784478199,1056,377200,296597,225582,0,0,0,0,0,0,711,711,21
1784478201,1156,412000,325026,245962,0,0,0,0,0,0,711,711,24
1784478203,1256,447200,353613,266597,0,0,0,0,0,0,712,712,26
1784478206,1256,447200,353613,266597,0,0,0,0,0,0,713,713,28
1784478208,1356,481200,379881,287290,0,0,0,0,0,0,713,713,30
1784478210,1456,496383,392527,296014,0,0,0,0,0,0,714,714,30
1784478213,1487,517600,410115,308232,0,0,0,0,0,0,715,715,33
1784478215,1487,527600,417958,314217,0,0,0,0,0,0,715,715,36
1784478217,1559,548400,434518,326571,0,0,0,0,0,0,716,716,39
1784478219,1559,548400,434518,326571,0,0,0,0,0,0,717,717,40
1784478222,1645,580800,459924,345963,0,0,0,0,0,0,717,717,46
1784478225,1645,580800,459924,345963,0,0,0,0,0,0,718,718,46
1784478227,1701,599200,473979,357169,0,0,0,0,0,0,718,718,51
1784478230,1769,605549,479004,360947,0,0,0,0,0,0,719,719,56
1784478232,1769,616000,487300,367216,0,0,0,0,0,0,720,720,55
1784478235,1839,636000,503496,379001,0,0,0,0,0,0,720,720,55
1784478238,1885,652400,515737,389152,0,0,0,0,0,0,721,721,54
1784478240,1959,674000,533421,401849,0,0,0,0,0,0,722,722,53
1784478242,2045,702000,555994,418407,0,0,0,0,0,0,723,723,52
1784478245,2045,702000,555994,418407,0,0,0,0,0,0,723,723,52
1784478247,2083,714000,566134,425291,0,0,0,0,0,0,724,724,51
1784478249,2083,714000,566134,425291,0,0,0,0,0,0,725,725,50
1784478252,2138,731200,580125,435403,0,0,0,0,0,0,725,725,50
1784478255,2215,757600,601506,450889,0,0,0,0,0,0,726,726,49
1784478258,2215,757600,601506,450889,0,0,0,0,0,0,726,726,49
1784478261,2283,780800,620030,464656,0,0,0,0,0,0,727,727,48
1784478264,2283,780800,620030,464656,0,0,0,0,0,0,728,728,47
1784478266,2372,812000,645700,482881,0,0,0,0,0,0,728,728,47
1784478269,2372,812000,645700,482881,0,0,0,0,0,0,728,728,47
1784478271,2421,819783,652002,487456,0,0,0,0,0,0,729,729,46
1784478273,2421,824800,656129,490390,0,0,0,0,0,0,729,729,46
1784478275,2500,825919,657048,491049,0,0,0,0,0,0,730,730,45
1784478278,2500,854000,679667,507663,0,0,0,0,0,0,730,730,45
1784478280,2583,854000,679667,507663,0,0,0,0,0,0,731,731,44
1784478283,2583,884400,704248,525641,0,0,0,0,0,0,731,731,44
1784478285,2683,884400,704248,525641,0,0,0,0,0,0,732,732,43
1784478288,2683,918800,730930,546357,0,0,0,0,0,0,732,732,43
1784478290,2746,918800,730930,546357,0,0,0,0,0,0,733,733,42
1784478293,2746,932400,742288,554133,0,0,0,0,0,0,733,733,42
1784478296,2817,959600,764115,570237,0,0,0,0,0,0,734,734,41
1784478298,2817,959600,764115,570237,0,0,0,0,0,0,734,734,41
1784478301,2884,978800,779367,581656,0,0,0,0,0,0,735,735,40
1784478304,2956,978800,779367,581656,0,0,0,0,0,0,736,736,39
1784478308,2956,1000000,795130,594746,0,0,0,0,0,0,736,736,39
1784478310,2956,1000000,795130,594746,0,0,0,0,0,0,737,737,38
1784478313,3007,1016400,807502,604780,0,0,0,0,0,0,737,737,38
1784478315,3007,1016400,807502,604780,0,0,0,0,0,0,737,737,38
1784478319,3058,1029600,818351,612398,0,0,0,0,0,0,738,738,37
1784478321,3058,1029600,818351,612398,0,0,0,0,0,0,738,738,37
1784478324,3085,1038400,825284,617640,0,0,0,0,0,0,739,739,36
1784478326,3085,1038400,825284,617640,0,0,0,0,0,0,739,739,36
1784478328,3137,1042734,828606,620237,0,0,0,0,0,0,740,740,35
1784478330,3137,1052800,836536,626307,0,0,0,0,0,0,740,740,35
1784478332,3171,1059673,842075,630372,0,0,0,0,0,0,741,741,34
1784478335,3171,1064800,846228,633374,0,0,0,0,0,0,741,741,34
1784478337,3224,1064800,846228,633374,0,0,0,0,0,0,742,742,33
1784478339,3224,1084000,861219,644906,0,0,0,0,0,0,742,742,33
1784478341,3258,1093248,868611,650380,0,0,0,0,0,0,743,743,32
1784478344,3258,1097200,871812,652704,0,0,0,0,0,0,744,744,31
1784478347,3334,1120800,890619,666680,0,0,0,0,0,0,744,744,31
1784478350,3388,1120800,890619,666680,0,0,0,0,0,0,745,745,30
1784478353,3388,1137600,903721,676788,0,0,0,0,0,0,745,745,30
1784478356,3488,1137600,903721,676788,0,0,0,0,0,0,746,746,29
1784478359,3488,1172000,931623,696988,0,0,0,0,0,0,746,746,29
1784478361,3488,1172000,931623,696988,0,0,0,0,0,0,746,746,29
1784478363,3545,1172000,931623,696988,0,0,0,0,0,0,747,747,28
1784478365,3545,1194000,949400,709986,0,0,0,0,0,0,747,747,28
1784478367,3545,1194000,949400,709986,0,0,0,0,0,0,747,747,28
1784478369,3645,1229200,978262,730506,0,0,0,0,0,0,748,748,27
1784478370,3726,1229200,978262,730506,0,0,0,0,0,0,749,749,26
1784478372,3726,1254000,998086,745232,0,0,0,0,0,0,749,749,26
1784478373,3818,1288800,1026474,765577,0,0,0,0,0,0,750,750,25
1784478375,3818,1288800,1026474,765577,0,0,0,0,0,0,750,750,25
1784478376,3866,1306800,1040575,776359,0,0,0,0,0,0,751,751,24
1784478378,3866,1306800,1040575,776359,0,0,0,0,0,0,751,751,24
1784478379,3932,1330000,1059196,789964,0,0,0,0,0,0,752,752,23
1784478381,3932,1330000,1059196,789964,0,0,0,0,0,0,752,752,23
1784478383,4011,1360000,1082882,807813,0,0,0,0,0,0,753,753,22
1784478384,4011,1360000,1082882,807813,0,0,0,0,0,0,753,753,22
1784478386,4111,1360000,1082882,807813,0,0,0,0,0,0,754,754,21
1784478388,4111,1394400,1110269,828198,0,0,0,0,0,0,754,754,21
1784478390,4111,1394400,1110269,828198,0,0,0,0,0,0,754,754,21
1784478392,4184,1420800,1131498,843792,0,0,0,0,0,0,755,755,20
1784478394,4242,1420800,1131498,843792,0,0,0,0,0,0,756,756,19
1784478396,4242,1439200,1146135,854681,0,0,0,0,0,0,756,756,19
1784478397,4324,1466000,1167096,870788,0,0,0,0,0,0,757,757,18
1784478399,4419,1487830,1184185,883899,0,0,0,0,0,0,758,758,17
1784478401,4419,1498800,1192822,890478,0,0,0,0,0,0,758,758,17
1784478402,4483,1498800,1192822,890478,0,0,0,0,0,0,759,759,16
1784478404,4483,1514400,1205502,899662,0,0,0,0,0,0,759,759,23
1784478406,4483,1514400,1205502,899662,0,0,0,0,0,0,760,760,26
1784478408,4534,1525600,1214252,906334,0,0,0,0,0,0,760,760,37
1784478409,4582,1525600,1214252,906334,0,0,0,0,0,0,761,761,41
1784478411,4582,1543200,1227924,916903,0,0,0,0,0,0,761,761,52
1784478413,4644,1564400,1244022,929876,0,0,0,0,0,0,762,762,66
1784478415,4644,1564400,1244022,929876,0,0,0,0,0,0,762,762,66
1784478417,4691,1581200,1257427,939827,0,0,0,0,0,0,763,763,66
1784478418,4747,1601200,1273030,951775,0,0,0,0,0,0,764,764,66
1784478420,4747,1601200,1273030,951775,0,0,0,0,0,0,765,765,66
1784478421,4779,1610400,1280330,957261,0,0,0,0,0,0,765,765,66
1784478422,4826,1626800,1293603,966891,0,0,0,0,0,0,766,766,66
1784478424,4826,1626800,1293603,966891,0,0,0,0,0,0,766,766,66
1784478426,4891,1641200,1305057,975469,0,0,0,0,0,0,767,767,66
1784478427,4965,1665600,1324444,989999,0,0,0,0,0,0,768,768,66
1784478429,5065,1665600,1324444,989999,0,0,0,0,0,0,776,776,59
1784478430,5065,1697200,1349707,1008740,0,0,0,0,0,0,776,776,59
1784478431,5165,1735200,1380243,1031257,0,0,0,0,0,0,777,777,58
1784478433,5165,1735200,1380243,1031257,0,0,0,0,0,0,777,777,58
1784478434,5265,1739100,1383399,1033547,0,0,0,0,0,0,778,778,57
1784478436,5265,1766400,1405529,1049641,0,0,0,0,0,0,778,778,57
1784478437,5365,1800645,1432832,1070006,0,0,0,0,0,0,779,779,56
1784478438,5365,1802000,1433881,1070823,0,0,0,0,0,0,779,779,56
1784478440,5465,1837600,1462358,1091849,0,0,0,0,0,0,780,780,55
1784478441,5565,1837600,1462358,1091849,0,0,0,0,0,0,781,781,54
1784478443,5565,1874800,1492826,1113659,0,0,0,0,0,0,781,781,54
1784478444,5665,1874800,1492826,1113659,0,0,0,0,0,0,782,782,53
1784478446,5665,1907600,1518769,1133230,0,0,0,0,0,0,782,782,53
1784478447,5765,1907600,1518769,1133230,0,0,0,0,0,0,783,783,52
1784478449,5765,1940000,1543955,1152760,0,0,0,0,0,0,783,783,52
1784478450,5865,1940000,1543955,1152760,0,0,0,0,0,0,784,784,66
1784478452,5865,1977200,1573758,1174620,0,0,0,0,0,0,784,784,66
1784478453,5965,1977200,1573758,1174620,0,0,0,0,0,0,785,785,66
1784478454,5965,2012400,1602607,1195222,0,0,0,0,0,0,785,785,66
1784478456,6065,2012400,1602607,1195222,0,0,0,0,0,0,786,786,66
1784478457,6065,2049200,1632055,1217034,0,0,0,0,0,0,786,786,66
1784478458,6165,2070333,1648991,1229542,0,0,0,0,0,0,787,787,66
1784478460,6165,2085600,1661261,1238578,0,0,0,0,0,0,787,787,66
1784478461,6165,2085600,1661261,1238578,0,0,0,0,0,0,787,787,66
