ts,actions_processed,placed_accepted,matched,resting,rej_margin,rej_book,rej_cancelled,rej_other,self_trade_cancels,cancelled_partial_fill,blocks_committed,block_height,exec_queue_depth
1784478546,0,0,0,0,0,0,0,0,0,0,651,651,0
1784478547,0,0,0,0,0,0,0,0,0,0,701,701,0
1784478549,0,0,0,0,0,0,0,0,0,0,713,713,0
1784478551,95,35200,25840,21887,0,0,0,0,0,0,714,714,1
1784478553,142,35200,25840,21887,0,0,0,0,0,0,715,715,3
1784478555,151,56400,42733,34490,0,0,0,0,0,0,717,717,1
1784478557,151,56400,42733,34490,0,0,0,0,0,0,718,718,0
1784478559,263,99200,76384,60077,0,0,0,0,0,0,719,719,3
1784478561,263,99200,76384,60077,0,0,0,0,0,0,720,720,2
1784478563,358,137200,106499,82660,0,0,0,0,0,0,720,720,7
1784478565,362,138800,107733,83625,0,0,0,0,0,0,721,721,7
1784478567,397,152800,119056,91901,0,0,0,0,0,0,724,724,4
1784478569,415,160000,124715,96235,0,0,0,0,0,0,726,726,7
1784478571,427,164400,128079,98929,0,0,0,0,0,0,727,727,6
1784478573,522,166000,129617,99759,0,0,0,0,0,0,729,729,4
1784478576,522,200000,157093,119763,0,0,0,0,0,0,729,729,4
1784478578,534,200000,157093,119763,0,0,0,0,0,0,730,730,3
1784478580,535,205200,161266,122831,0,0,0,0,0,0,732,732,1
1784478582,535,205200,161266,122831,0,0,0,0,0,0,733,733,0
1784478585,535,205200,161266,122831,0,0,0,0,0,0,733,733,0
1784478587,535,205200,161266,122831,0,0,0,0,0,0,733,733,0
1784478589,535,205200,161266,122831,0,0,0,0,0,0,733,733,0
1784478592,535,205200,161266,122831,0,0,0,0,0,0,733,733,0
1784478593,535,205200,161266,122831,0,0,0,0,0,0,733,733,0
1784478595,535,205200,161266,122831,0,0,0,0,0,0,733,733,0
1784478598,535,205200,161266,122831,0,0,0,0,0,0,733,733,0
1784478601,535,205200,161266,122831,0,0,0,0,0,0,733,733,0
1784478603,535,205200,161266,122831,0,0,0,0,0,0,733,733,0
1784478606,535,205200,161266,122831,0,0,0,0,0,0,733,733,0
1784478608,535,205200,161266,122831,0,0,0,0,0,0,733,733,0
1784478610,535,205200,161266,122831,0,0,0,0,0,0,733,733,0
1784478613,535,205200,161266,122831,0,0,0,0,0,0,733,733,0
