ts,actions_processed,placed_accepted,matched,resting,rej_margin,rej_book,rej_cancelled,rej_other,self_trade_cancels,cancelled_partial_fill,blocks_committed,block_height,exec_queue_depth
1784479040,0,0,0,0,0,0,0,0,0,0,285,285,0
1784479041,0,0,0,0,0,0,0,0,0,0,286,286,0
1784479043,50,6800,4674,4394,0,0,0,0,0,0,288,288,1
1784479045,78,28400,20067,17833,0,0,0,0,0,0,289,289,2
1784479047,143,53600,39781,32981,0,0,0,0,0,0,290,290,2
1784479049,190,71200,54102,43207,0,0,0,0,0,0,291,291,3
1784479051,295,112000,85751,67812,0,0,0,0,0,0,292,292,8
1784479053,295,112000,85751,67812,0,0,0,0,0,0,292,292,11
1784479055,329,124400,96277,74835,0,0,0,0,0,0,294,294,10
1784479057,336,126800,98201,76266,0,0,0,0,0,0,296,296,8
1784479059,387,146000,113452,87725,0,0,0,0,0,0,300,300,9
1784479061,409,154800,119931,93212,0,0,0,0,0,0,302,302,8
1784479063,463,175200,136040,105324,0,0,0,0,0,0,305,305,5
1784479065,475,180000,139679,108280,0,0,0,0,0,0,306,306,4
1784479067,489,185600,144298,111532,0,0,0,0,0,0,307,307,9
1784479070,521,197600,153563,118775,0,0,0,0,0,0,308,308,8
1784479072,530,197600,153563,118775,0,0,0,0,0,0,309,309,7
1784479075,547,207600,161776,124615,0,0,0,0,0,0,310,310,6
1784479077,678,207600,161776,124615,0,0,0,0,0,0,311,311,5
1784479080,678,257200,202172,153736,0,0,0,0,0,0,311,311,5
1784479082,678,257200,202172,153736,0,0,0,0,0,0,311,311,5
1784479084,719,257200,202172,153736,0,0,0,0,0,0,312,312,4
1784479086,719,272800,215190,162745,0,0,0,0,0,0,312,312,4
1784479088,767,272800,215190,162745,0,0,0,0,0,0,313,313,3
1784479090,767,290800,229536,173457,0,0,0,0,0,0,314,314,2
1784479093,821,310400,245634,184917,0,0,0,0,0,0,314,314,2
1784479096,821,310400,245634,184917,0,0,0,0,0,0,316,316,0
1784479098,821,310400,245634,184917,0,0,0,0,0,0,316,316,0
1784479100,821,310400,245634,184917,0,0,0,0,0,0,316,316,0
1784479102,821,310400,245634,184917,0,0,0,0,0,0,316,316,0
1784479105,821,310400,245634,184917,0,0,0,0,0,0,316,316,0
1784479107,821,310400,245634,184917,0,0,0,0,0,0,316,316,0
1784479109,821,310400,245634,184917,0,0,0,0,0,0,316,316,0
1784479111,821,310400,245634,184917,0,0,0,0,0,0,316,316,0
1784479114,821,310400,245634,184917,0,0,0,0,0,0,316,316,0
1784479116,821,310400,245634,184917,0,0,0,0,0,0,316,316,0
1784479118,821,310400,245634,184917,0,0,0,0,0,0,316,316,0
1784479120,821,310400,245634,184917,0,0,0,0,0,0,316,316,0
1784479122,821,310400,245634,184917,0,0,0,0,0,0,316,316,0
1784479124,821,310400,245634,184917,0,0,0,0,0,0,316,316,0
1784479127,821,310400,245634,184917,0,0,0,0,0,0,316,316,0
1784479129,821,310400,245634,184917,0,0,0,0,0,0,316,316,0
1784479131,821,310400,245634,184917,0,0,0,0,0,0,316,316,0
1784479133,821,310400,245634,184917,0,0,0,0,0,0,316,316,0
1784479136,821,310400,245634,184917,0,0,0,0,0,0,316,316,0
1784479139,821,310400,245634,184917,0,0,0,0,0,0,316,316,0
