ts,actions_processed,placed_accepted,matched,resting,rej_margin,rej_book,rej_cancelled,rej_other,self_trade_cancels,cancelled_partial_fill,blocks_committed,block_height,exec_queue_depth
1784479651,0,0,0,0,0,0,0,0,0,0,699,699,0
1784479652,0,0,0,0,0,0,0,0,0,0,748,748,0
1784479654,7,800,526,533,0,0,0,0,0,0,764,764,1
1784479656,22,8000,5190,5260,0,0,0,0,0,0,766,766,1
1784479658,41,8000,5190,5260,0,0,0,0,0,0,767,767,1
1784479660,146,54400,39263,33821,0,0,0,0,0,0,768,768,4
1784479661,146,54400,39263,33821,0,0,0,0,0,0,768,768,5
1784479663,287,58400,42122,36358,0,0,0,0,0,0,772,772,1
1784479665,287,108000,82106,65555,0,0,0,0,0,0,772,772,11
1784479666,308,116400,88737,70587,0,0,0,0,0,0,773,773,13
1784479668,330,124400,95153,75363,0,0,0,0,0,0,774,774,13
1784479670,376,142000,108900,85916,0,0,0,0,0,0,779,779,11
1784479672,398,148800,114095,90039,0,0,0,0,0,0,783,783,7
1784479674,404,152800,117159,92483,0,0,0,0,0,0,786,786,7
1784479677,440,165600,126854,100319,0,0,0,0,0,0,788,788,5
1784479679,488,182800,140849,110359,0,0,0,0,0,0,789,789,4
1784479682,539,182800,140849,110359,0,0,0,0,0,0,790,790,3
1784479684,616,202800,157202,122090,0,0,0,0,0,0,791,791,2
1784479687,616,232000,180403,139466,0,0,0,0,0,0,791,791,2
1784479689,663,249600,194508,149872,0,0,0,0,0,0,792,792,1
1784479691,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479694,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479696,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479699,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479701,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479703,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479705,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479707,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479710,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479712,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479714,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479716,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479718,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479721,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479723,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479725,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479727,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479729,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479732,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479734,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479736,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479738,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479741,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479743,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479745,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479747,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479749,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479751,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479754,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479756,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479759,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479761,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479764,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479766,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479768,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479771,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479773,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479775,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479778,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479780,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479783,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479785,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479787,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479789,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479791,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479793,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479795,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479797,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479799,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479801,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479803,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479806,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479808,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479811,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479814,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479816,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479818,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479820,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479822,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479825,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
1784479827,663,249600,194508,149872,0,0,0,0,0,0,793,793,0
