ts,committed,height,placed,matched,resting,exec_resting,lb_s,lb_c,root_s,root_c,sw_s,sw_c,evm_s,evm_c,fl_s,fl_c,db_s,db_c,execq
1784492819,702,702,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
1784492820,740,740,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
1784492822,744,744,400,0,400,400,0.00016698100000000002,2,0.594943933,1,0.009816089,1,0.000002966,1,0.606466205,1,410.0,1,1
1784492824,745,745,31600,23934,19419,7097,0.00023920500000000004,3,1.292279727,2,0.231983459,2,0.0000050800000000000009,2,1.537838349,2,8262.0,2,4
1784492827,749,749,50800,39412,30773,10474,0.09275103999999999,5,2.085441126,4,0.548093561,4,0.00001036,4,2.675688645,4,18631.0,4,1
1784492829,750,750,88800,69837,53204,10474,0.09275103999999999,5,2.880254129,5,0.9296567189999999,5,0.000012884,5,3.864468305,5,30385.0,5,0
1784492831,751,751,107600,84696,64356,17354,0.09290318499999999,7,2.97548463,6,1.0233762,6,0.000015659,6,4.05721887,6,31647.0,6,4
1784492833,754,754,122000,95606,73139,22802,0.09305501899999998,10,3.845821391,9,1.402717547,9,0.000023384000000000003,9,5.533728691,9,43412.0,9,3
1784492835,756,756,160400,125631,96211,23888,0.09313840399999998,12,4.077226799,11,1.675096818,11,0.000028514000000000003,11,6.047009492,11,47263.0,11,1
1784492837,757,757,161200,126318,96661,31129,0.09318821599999998,13,5.274034169,12,2.167471506,12,0.000030969,12,7.938825174,12,61144.0,12,5
1784492839,759,759,186468,146688,111546,34193,0.09333569999999997,15,5.972116507,14,2.5516855,14,0.000036429,14,9.041499374999999,14,69505.0,14,3
1784492842,760,760,198800,156455,118838,35628,0.09340683299999997,16,6.456217266,15,2.774956118,15,0.000038253,15,9.758633923,15,74229.0,15,2
1784492844,762,762,203600,160509,121582,37793,0.09344462199999997,17,7.266373472,17,3.373490131,17,0.000042481,17,11.259057894,17,83298.0,17,0
1784492846,762,762,203600,160509,121582,37793,0.09344462199999997,17,7.266373472,17,3.373490131,17,0.000042481,17,11.259057894,17,83298.0,17,0
1784492849,762,762,203600,160509,121582,37793,0.09344462199999997,17,7.266373472,17,3.373490131,17,0.000042481,17,11.259057894,17,83298.0,17,0
1784492851,762,762,203600,160509,121582,37793,0.09344462199999997,17,7.266373472,17,3.373490131,17,0.000042481,17,11.259057894,17,83298.0,17,0
1784492854,762,762,203600,160509,121582,37793,0.09344462199999997,17,7.266373472,17,3.373490131,17,0.000042481,17,11.259057894,17,83298.0,17,0
1784492857,762,762,203600,160509,121582,37793,0.09344462199999997,17,7.266373472,17,3.373490131,17,0.000042481,17,11.259057894,17,83298.0,17,0
1784492859,762,762,203600,160509,121582,37793,0.09344462199999997,17,7.266373472,17,3.373490131,17,0.000042481,17,11.259057894,17,83298.0,17,0
1784492862,762,762,203600,160509,121582,37793,0.09344462199999997,17,7.266373472,17,3.373490131,17,0.000042481,17,11.259057894,17,83298.0,17,0
1784492864,762,762,203600,160509,121582,37793,0.09344462199999997,17,7.266373472,17,3.373490131,17,0.000042481,17,11.259057894,17,83298.0,17,0
1784492867,762,762,203600,160509,121582,37793,0.09344462199999997,17,7.266373472,17,3.373490131,17,0.000042481,17,11.259057894,17,83298.0,17,0
1784492870,762,762,203600,160509,121582,37793,0.09344462199999997,17,7.266373472,17,3.373490131,17,0.000042481,17,11.259057894,17,83298.0,17,0
1784492872,762,762,203600,160509,121582,37793,0.09344462199999997,17,7.266373472,17,3.373490131,17,0.000042481,17,11.259057894,17,83298.0,17,0
1784492875,762,762,203600,160509,121582,37793,0.09344462199999997,17,7.266373472,17,3.373490131,17,0.000042481,17,11.259057894,17,83298.0,17,0
1784492878,762,762,203600,160509,121582,37793,0.09344462199999997,17,7.266373472,17,3.373490131,17,0.000042481,17,11.259057894,17,83298.0,17,0
1784492881,762,762,203600,160509,121582,37793,0.09344462199999997,17,7.266373472,17,3.373490131,17,0.000042481,17,11.259057894,17,83298.0,17,0
1784492883,762,762,203600,160509,121582,37793,0.09344462199999997,17,7.266373472,17,3.373490131,17,0.000042481,17,11.259057894,17,83298.0,17,0
1784492886,762,762,203600,160509,121582,37793,0.09344462199999997,17,7.266373472,17,3.373490131,17,0.000042481,17,11.259057894,17,83298.0,17,0
1784492889,762,762,203600,160509,121582,37793,0.09344462199999997,17,7.266373472,17,3.373490131,17,0.000042481,17,11.259057894,17,83298.0,17,0
1784492893,762,762,203600,160509,121582,37793,0.09344462199999997,17,7.266373472,17,3.373490131,17,0.000042481,17,11.259057894,17,83298.0,17,0
1784492896,762,762,203600,160509,121582,37793,0.09344462199999997,17,7.266373472,17,3.373490131,17,0.000042481,17,11.259057894,17,83298.0,17,0
1784492898,762,762,203600,160509,121582,37793,0.09344462199999997,17,7.266373472,17,3.373490131,17,0.000042481,17,11.259057894,17,83298.0,17,0
1784492901,762,762,203600,160509,121582,37793,0.09344462199999997,17,7.266373472,17,3.373490131,17,0.000042481,17,11.259057894,17,83298.0,17,0
1784492904,762,762,203600,160509,121582,37793,0.09344462199999997,17,7.266373472,17,3.373490131,17,0.000042481,17,11.259057894,17,83298.0,17,0
1784492907,762,762,203600,160509,121582,37793,0.09344462199999997,17,7.266373472,17,3.373490131,17,0.000042481,17,11.259057894,17,83298.0,17,0
1784492910,762,762,203600,160509,121582,37793,0.09344462199999997,17,7.266373472,17,3.373490131,17,0.000042481,17,11.259057894,17,83298.0,17,0
1784492912,762,762,203600,160509,121582,37793,0.09344462199999997,17,7.266373472,17,3.373490131,17,0.000042481,17,11.259057894,17,83298.0,17,0
1784492915,762,762,203600,160509,121582,37793,0.09344462199999997,17,7.266373472,17,3.373490131,17,0.000042481,17,11.259057894,17,83298.0,17,0
