ts,actions_processed,placed_accepted,matched,resting,rej_margin,rej_book,rej_cancelled,rej_other,self_trade_cancels,cancelled_partial_fill,blocks_committed,block_height,exec_queue_depth
1784543685,0,0,0,0,0,0,0,0,0,0,120,120,0
1784543686,0,0,0,0,0,0,0,0,0,0,170,170,0
1784543688,3,800,526,533,0,0,0,0,0,0,172,172,1
1784543690,24,8400,6350,5173,0,0,0,0,0,0,174,174,0
1784543692,106,39200,29755,23963,0,0,0,0,0,0,175,175,1
1784543694,138,52000,40446,31356,0,0,0,0,0,0,176,176,1
1784543696,138,52000,40446,31356,0,0,0,0,0,0,177,177,0
1784543697,151,57200,44653,34408,0,0,0,0,0,0,177,177,2
1784543699,190,71600,56132,42984,0,0,0,0,0,0,178,178,4
1784543701,260,98800,77405,59311,0,0,0,0,0,0,179,179,3
1784543703,304,101454,79434,60926,0,0,0,0,0,0,182,182,2
1784543705,304,115200,90002,69222,0,0,0,0,0,0,184,184,0
1784543707,393,148800,116189,89417,0,0,0,0,0,0,185,185,2
1784543709,393,148800,116189,89417,0,0,0,0,0,0,186,186,1
1784543712,411,156000,122085,93641,0,0,0,0,0,0,187,187,0
1784543714,415,157200,123126,94291,0,0,0,0,0,0,188,188,1
1784543717,484,184400,144940,110419,0,0,0,0,0,0,188,188,3
1784543719,502,191600,150778,114647,0,0,0,0,0,0,189,189,2
1784543722,510,194400,153051,116298,0,0,0,0,0,0,191,191,0
1784543725,510,194400,153051,116298,0,0,0,0,0,0,191,191,0
1784543727,546,207600,163817,124057,0,0,0,0,0,0,191,191,2
1784543729,628,230800,182667,137703,0,0,0,0,0,0,192,192,1
1784543733,628,230800,182667,137703,0,0,0,0,0,0,192,192,1
1784543735,628,230800,182667,137703,0,0,0,0,0,0,193,193,0
1784543737,695,256400,203230,152892,0,0,0,0,0,0,193,193,1
1784543740,695,256400,203230,152892,0,0,0,0,0,0,193,193,1
1784543742,695,256400,203230,152892,0,0,0,0,0,0,194,194,0
1784543745,695,256400,203230,152892,0,0,0,0,0,0,194,194,0
1784543748,695,256400,203230,152892,0,0,0,0,0,0,194,194,0
1784543751,695,256400,203230,152892,0,0,0,0,0,0,194,194,0
1784543753,695,256400,203230,152892,0,0,0,0,0,0,194,194,0
1784543756,695,256400,203230,152892,0,0,0,0,0,0,194,194,0
1784543759,695,256400,203230,152892,0,0,0,0,0,0,194,194,0
1784543761,768,264800,209861,157881,0,0,0,0,0,0,194,194,3
1784543764,818,272800,216296,162556,0,0,0,0,0,0,195,195,2
1784543767,910,272800,216296,162556,0,0,0,0,0,0,196,196,1
1784543771,910,303600,240585,180992,0,0,0,0,0,0,196,196,1
1784543773,910,303600,240585,180992,0,0,0,0,0,0,196,196,1
1784543775,910,303600,240585,180992,0,0,0,0,0,0,197,197,0
1784543777,969,323200,256287,192592,0,0,0,0,0,0,197,197,4
1784543779,1069,344800,273572,205392,0,0,0,0,0,0,198,198,3
1784543781,1108,348800,276313,207990,0,0,0,0,0,0,202,202,1
1784543784,1108,359600,285047,214339,0,0,0,0,0,0,202,202,1
1784543786,1108,359600,285047,214339,0,0,0,0,0,0,203,203,0
1784543788,1108,359600,285047,214339,0,0,0,0,0,0,203,203,0
1784543791,1150,376000,297535,224413,0,0,0,0,0,0,203,203,3
1784543794,1208,398000,314850,237520,0,0,0,0,0,0,204,204,2
1784543797,1270,420000,332885,250319,0,0,0,0,0,0,205,205,1
1784543800,1352,420000,332885,250319,0,0,0,0,0,0,206,206,1
1784543802,1352,451600,358414,268951,0,0,0,0,0,0,206,206,1
1784543805,1352,451600,358414,268951,0,0,0,0,0,0,207,207,0
1784543808,1352,451600,358414,268951,0,0,0,0,0,0,207,207,0
1784543810,1352,451600,358414,268951,0,0,0,0,0,0,207,207,0
1784543812,1352,451600,358414,268951,0,0,0,0,0,0,207,207,0
1784543814,1352,451600,358414,268951,0,0,0,0,0,0,207,207,0
1784543817,1352,451600,358414,268951,0,0,0,0,0,0,207,207,0
1784543820,1352,451600,358414,268951,0,0,0,0,0,0,207,207,0
1784543822,1352,451600,358414,268951,0,0,0,0,0,0,207,207,0
1784543825,1352,451600,358414,268951,0,0,0,0,0,0,207,207,0
1784543827,1391,466800,369895,278264,0,0,0,0,0,0,207,207,3
1784543830,1491,469875,372410,280081,0,0,0,0,0,0,208,208,2
1784543832,1491,504800,400194,300813,0,0,0,0,0,0,208,208,2
1784543835,1576,537600,426446,320273,0,0,0,0,0,0,209,209,1
1784543838,1576,537600,426446,320273,0,0,0,0,0,0,210,210,1
1784543840,1676,569600,451789,339340,0,0,0,0,0,0,210,210,2
1784543843,1676,569600,451789,339340,0,0,0,0,0,0,210,210,2
1784543847,1776,597600,474469,355745,0,0,0,0,0,0,211,211,1
1784543849,1776,597600,474469,355745,0,0,0,0,0,0,211,211,1
1784543852,1776,597600,474469,355745,0,0,0,0,0,0,212,212,0
1784543855,1776,597600,474469,355745,0,0,0,0,0,0,212,212,0
1784543857,1776,597600,474469,355745,0,0,0,0,0,0,212,212,0
1784543860,1776,597600,474469,355745,0,0,0,0,0,0,212,212,0
1784543862,1776,597600,474469,355745,0,0,0,0,0,0,212,212,0
1784543864,1776,597600,474469,355745,0,0,0,0,0,0,212,212,0
1784543867,1776,597600,474469,355745,0,0,0,0,0,0,212,212,0
1784543870,1776,597600,474469,355745,0,0,0,0,0,0,212,212,0
1784543872,1776,597600,474469,355745,0,0,0,0,0,0,212,212,0
1784543875,1876,634800,504204,377783,0,0,0,0,0,0,212,212,3
1784543877,1876,634800,504204,377783,0,0,0,0,0,0,212,212,3
1784543880,1883,637600,506342,379491,0,0,0,0,0,0,215,215,2
1784543883,1908,647200,514262,385113,0,0,0,0,0,0,216,216,1
1784543885,1947,662800,526857,394330,0,0,0,0,0,0,216,216,3
1784543887,1974,672400,534510,400000,0,0,0,0,0,0,217,217,2
1784543890,2007,683600,543542,406584,0,0,0,0,0,0,218,218,3
1784543892,2043,697200,553931,414915,0,0,0,0,0,0,220,220,3
1784543894,2078,710400,563999,422950,0,0,0,0,0,0,221,221,3
1784543896,2081,711600,565051,423611,0,0,0,0,0,0,222,222,2
1784543899,2122,728000,578273,433264,0,0,0,0,0,0,224,224,0
1784543901,2158,742000,589240,441676,0,0,0,0,0,0,224,224,4
1784543903,2196,756800,601318,450303,0,0,0,0,0,0,225,225,5
1784543906,2230,770400,612263,458323,0,0,0,0,0,0,226,226,4
1784543908,2230,770400,612263,458323,0,0,0,0,0,0,227,227,3
1784543911,2246,776800,616802,462386,0,0,0,0,0,0,228,228,2
1784543914,2285,792000,628788,471424,0,0,0,0,0,0,229,229,2
1784543916,2285,792000,628788,471424,0,0,0,0,0,0,230,230,2
1784543919,2345,815600,647674,485418,0,0,0,0,0,0,230,230,3
1784543921,2445,815600,647674,485418,0,0,0,0,0,0,231,231,2
1784543923,2445,853200,677109,507868,0,0,0,0,0,0,231,231,2
1784543925,2445,853200,677109,507868,0,0,0,0,0,0,231,231,2
1784543928,2545,890000,706873,529481,0,0,0,0,0,0,232,232,1
1784543930,2545,890000,706873,529481,0,0,0,0,0,0,232,232,5
1784543933,2545,890000,706873,529481,0,0,0,0,0,0,232,232,5
1784543935,2645,923600,733788,549401,0,0,0,0,0,0,233,233,4
1784543938,2645,923600,733788,549401,0,0,0,0,0,0,233,233,4
1784543941,2680,937600,745049,557709,0,0,0,0,0,0,234,234,4
1784543944,2689,941200,747991,559817,0,0,0,0,0,0,235,235,4
1784543947,2731,957600,761122,569513,0,0,0,0,0,0,236,236,5
1784543949,2819,990000,787368,588530,0,0,0,0,0,0,237,237,6
1784543951,2819,990000,787368,588530,0,0,0,0,0,0,237,237,6
1784543953,2919,990000,787368,588530,0,0,0,0,0,0,238,238,5
1784543955,2919,1026800,816474,610460,0,0,0,0,0,0,238,238,5
1784543958,2919,1026800,816474,610460,0,0,0,0,0,0,238,238,5
1784543960,3018,1026800,816474,610460,0,0,0,0,0,0,239,239,4
1784543962,3018,1065600,847840,633372,0,0,0,0,0,0,239,239,6
1784543965,3103,1096400,872682,651502,0,0,0,0,0,0,240,240,5
1784543967,3103,1096400,872682,651502,0,0,0,0,0,0,240,240,5
1784543969,3103,1096400,872682,651502,0,0,0,0,0,0,240,240,5
1784543972,3150,1114000,886527,662024,0,0,0,0,0,0,241,241,7
1784543974,3209,1136800,904702,675600,0,0,0,0,0,0,242,242,6
1784543977,3209,1136800,904702,675600,0,0,0,0,0,0,242,242,6
1784543980,3305,1163701,926545,691446,0,0,0,0,0,0,243,243,5
1784543983,3305,1172800,933877,696783,0,0,0,0,0,0,243,243,5
1784543985,3305,1172800,933877,696783,0,0,0,0,0,0,243,243,5
