ts,actions_processed,placed_accepted,matched,resting,rej_margin,rej_book,rej_cancelled,rej_other,self_trade_cancels,cancelled_partial_fill,blocks_committed,block_height,exec_queue_depth
1784544739,0,0,0,0,0,0,0,0,0,0,635,635,0
1784544741,0,0,0,0,0,0,0,0,0,0,680,680,0
1784544742,2,800,526,533,0,0,0,0,0,0,692,692,2
1784544744,13,4000,2691,2596,0,0,0,0,0,0,695,695,0
1784544746,58,20800,15572,12768,0,0,0,0,0,0,695,695,3
1784544748,120,34800,26522,21143,0,0,0,0,0,0,697,697,2
1784544750,173,63600,49381,38335,0,0,0,0,0,0,699,699,0
1784544752,206,76800,60010,46153,0,0,0,0,0,0,702,702,0
1784544754,254,95200,74830,57045,0,0,0,0,0,0,702,702,4
1784544756,274,102000,79858,61282,0,0,0,0,0,0,705,705,5
1784544758,316,118400,92958,70937,0,0,0,0,0,0,707,707,5
1784544760,355,133200,104648,79765,0,0,0,0,0,0,711,711,2
1784544762,382,143200,112221,85887,0,0,0,0,0,0,712,712,3
1784544764,417,155600,122550,93012,0,0,0,0,0,0,714,714,3
1784544767,422,157600,123963,94280,0,0,0,0,0,0,715,715,2
1784544769,423,157600,123963,94280,0,0,0,0,0,0,717,717,0
1784544771,523,157600,123963,94280,0,0,0,0,0,0,717,717,2
1784544774,523,196000,154699,117074,0,0,0,0,0,0,717,717,3
1784544777,523,196000,154699,117074,0,0,0,0,0,0,717,717,3
1784544780,623,234000,184699,139650,0,0,0,0,0,0,718,718,2
1784544782,623,234000,184699,139650,0,0,0,0,0,0,719,719,1
1784544785,723,274000,216340,163464,0,0,0,0,0,0,719,719,1
1784544788,723,274000,216340,163464,0,0,0,0,0,0,720,720,0
1784544790,723,274000,216340,163464,0,0,0,0,0,0,720,720,0
1784544793,723,274000,216340,163464,0,0,0,0,0,0,720,720,0
1784544795,723,274000,216340,163464,0,0,0,0,0,0,720,720,0
1784544797,822,274000,216340,163464,0,0,0,0,0,0,720,720,2
1784544800,822,312000,246663,186077,0,0,0,0,0,0,720,720,3
1784544803,922,312000,246663,186077,0,0,0,0,0,0,721,721,3
1784544805,922,344000,271937,205146,0,0,0,0,0,0,721,721,3
1784544808,997,344000,271937,205146,0,0,0,0,0,0,722,722,2
1784544810,997,358800,282153,214761,0,0,0,0,0,0,722,722,2
1784544813,1082,392800,309305,234772,0,0,0,0,0,0,723,723,1
1784544816,1082,392800,309305,234772,0,0,0,0,0,0,724,724,0
1784544819,1082,392800,309305,234772,0,0,0,0,0,0,724,724,0
1784544821,1182,392800,309305,234772,0,0,0,0,0,0,724,724,2
1784544824,1182,430800,338138,258025,0,0,0,0,0,0,724,724,2
1784544827,1277,468400,369292,279811,0,0,0,0,0,0,725,725,2
1784544829,1317,484000,382063,288907,0,0,0,0,0,0,726,726,1
1784544831,1318,484400,382415,289133,0,0,0,0,0,0,727,727,3
1784544834,1325,487200,384443,290923,0,0,0,0,0,0,729,729,1
1784544836,1325,487200,384443,290923,0,0,0,0,0,0,730,730,0
1784544838,1325,487200,384443,290923,0,0,0,0,0,0,730,730,0
1784544840,1336,491600,388133,293454,0,0,0,0,0,0,730,730,1
1784544843,1436,530000,419208,316011,0,0,0,0,0,0,731,731,1
1784544845,1436,530000,419208,316011,0,0,0,0,0,0,731,731,2
1784544848,1482,530000,419208,316011,0,0,0,0,0,0,732,732,1
1784544850,1482,547600,432872,326604,0,0,0,0,0,0,733,733,1
1784544853,1582,582000,460448,346878,0,0,0,0,0,0,733,733,1
1784544855,1582,582000,460448,346878,0,0,0,0,0,0,733,733,1
1784544858,1582,582000,460448,346878,0,0,0,0,0,0,734,734,0
1784544860,1582,582000,460448,346878,0,0,0,0,0,0,734,734,0
1784544863,1682,585704,463438,349070,0,0,0,0,0,0,734,734,3
1784544867,1682,619200,490634,368790,0,0,0,0,0,0,734,734,3
1784544869,1682,619200,490634,368790,0,0,0,0,0,0,735,735,2
1784544872,1782,652000,516988,388067,0,0,0,0,0,0,735,735,2
1784544875,1782,652000,516988,388067,0,0,0,0,0,0,736,736,1
1784544878,1882,687200,544540,409238,0,0,0,0,0,0,736,736,2
1784544880,1882,687200,544540,409238,0,0,0,0,0,0,736,736,3
1784544883,1982,687200,544540,409238,0,0,0,0,0,0,737,737,2
1784544886,1982,722000,573257,429466,0,0,0,0,0,0,737,737,2
1784544889,2035,722000,573257,429466,0,0,0,0,0,0,738,738,2
1784544892,2035,741600,589249,440963,0,0,0,0,0,0,738,738,3
1784544895,2135,776800,617586,461760,0,0,0,0,0,0,739,739,4
1784544897,2135,776800,617586,461760,0,0,0,0,0,0,739,739,7
1784544899,2235,812800,645980,483254,0,0,0,0,0,0,740,740,7
1784544902,2235,812800,645980,483254,0,0,0,0,0,0,740,740,9
1784544904,2335,848400,674380,504303,0,0,0,0,0,0,741,741,8
1784544906,2335,848400,674380,504303,0,0,0,0,0,0,741,741,10
1784544909,2351,848400,674380,504303,0,0,0,0,0,0,745,745,7
1784544911,2353,855200,679164,508605,0,0,0,0,0,0,746,746,6
1784544913,2383,866000,687468,515080,0,0,0,0,0,0,748,748,4
1784544915,2419,879600,698826,522895,0,0,0,0,0,0,749,749,6
1784544917,2489,882956,701556,524875,0,0,0,0,0,0,750,750,5
1784544920,2489,906400,720320,538788,0,0,0,0,0,0,750,750,5
1784544922,2550,906400,720320,538788,0,0,0,0,0,0,751,751,5
1784544925,2550,930000,739297,552705,0,0,0,0,0,0,751,751,8
1784544928,2565,930000,739297,552705,0,0,0,0,0,0,752,752,7
1784544930,2621,935200,742890,556104,0,0,0,0,0,0,753,753,6
1784544934,2621,956400,760137,568485,0,0,0,0,0,0,754,754,5
1784544936,2635,961200,763983,571344,0,0,0,0,0,0,755,755,6
1784544938,2690,982000,780516,583703,0,0,0,0,0,0,755,755,7
1784544940,2690,982000,780516,583703,0,0,0,0,0,0,755,755,7
1784544943,2790,1018400,809621,605214,0,0,0,0,0,0,756,756,6
1784544946,2790,1018400,809621,605214,0,0,0,0,0,0,756,756,6
1784544949,2790,1018400,809621,605214,0,0,0,0,0,0,756,756,6
1784544952,2890,1039379,825897,617927,0,0,0,0,0,0,757,757,5
1784544954,2890,1056400,838984,628207,0,0,0,0,0,0,757,757,7
1784544957,2890,1056400,838984,628207,0,0,0,0,0,0,757,757,7
1784544959,2890,1056400,838984,628207,0,0,0,0,0,0,757,757,7
1784544961,2990,1092800,869093,649346,0,0,0,0,0,0,758,758,6
1784544964,2990,1092800,869093,649346,0,0,0,0,0,0,758,758,7
1784544967,3090,1130400,898415,672069,0,0,0,0,0,0,759,759,6
1784544969,3090,1130400,898415,672069,0,0,0,0,0,0,759,759,6
1784544971,3090,1130400,898415,672069,0,0,0,0,0,0,759,759,6
1784544973,3090,1130400,898415,672069,0,0,0,0,0,0,759,759,6
1784544976,3190,1164800,926353,692148,0,0,0,0,0,0,760,760,5
1784544979,3190,1164800,926353,692148,0,0,0,0,0,0,760,760,5
1784544982,3190,1164800,926353,692148,0,0,0,0,0,0,760,760,6
1784544984,3290,1200400,955284,713136,0,0,0,0,0,0,761,761,6
1784544987,3290,1200400,955284,713136,0,0,0,0,0,0,761,761,9
1784544989,3390,1212688,964990,720469,0,0,0,0,0,0,762,762,9
1784544992,3390,1235200,983021,733830,0,0,0,0,0,0,762,762,9
1784544994,3390,1235200,983021,733830,0,0,0,0,0,0,762,762,10
1784544997,3490,1273200,1013682,756242,0,0,0,0,0,0,763,763,10
1784544999,3490,1273200,1013682,756242,0,0,0,0,0,0,763,763,10
1784545002,3590,1273200,1013682,756242,0,0,0,0,0,0,764,764,9
1784545005,3590,1308400,1041817,777172,0,0,0,0,0,0,764,764,9
1784545007,3590,1308400,1041817,777172,0,0,0,0,0,0,764,764,12
1784545010,3690,1346000,1071950,799436,0,0,0,0,0,0,765,765,11
1784545014,3690,1346000,1071950,799436,0,0,0,0,0,0,765,765,11
1784545017,3690,1346000,1071950,799436,0,0,0,0,0,0,766,766,10
1784545019,3715,1355200,1079453,804811,0,0,0,0,0,0,766,766,12
1784545022,3756,1369200,1090543,813181,0,0,0,0,0,0,767,767,12
1784545024,3757,1369200,1090543,813181,0,0,0,0,0,0,771,771,9
1784545026,3757,1369200,1090543,813181,0,0,0,0,0,0,771,771,9
1784545029,3853,1406000,1119542,835144,0,0,0,0,0,0,772,772,16
1784545030,3853,1406000,1119542,835144,0,0,0,0,0,0,772,772,18
1784545033,3853,1406000,1119542,835144,0,0,0,0,0,0,773,773,22
1784545035,3919,1431600,1140470,850110,0,0,0,0,0,0,773,773,23
1784545038,3919,1431600,1140470,850110,0,0,0,0,0,0,773,773,26
1784545040,4019,1466800,1168314,871090,0,0,0,0,0,0,774,774,26
1784545043,4019,1466800,1168314,871090,0,0,0,0,0,0,774,774,26
1784545045,4119,1466800,1168314,871090,0,0,0,0,0,0,775,775,25
1784545049,4119,1505200,1198756,894010,0,0,0,0,0,0,775,775,25
1784545052,4119,1505200,1198756,894010,0,0,0,0,0,0,776,776,24
1784545056,4219,1544400,1230415,917116,0,0,0,0,0,0,776,776,24
1784545059,4219,1544400,1230415,917116,0,0,0,0,0,0,776,776,24
1784545061,4294,1572400,1252353,933952,0,0,0,0,0,0,777,777,23
1784545065,4294,1572400,1252353,933952,0,0,0,0,0,0,777,777,23
1784545068,4331,1586800,1263550,942667,0,0,0,0,0,0,778,778,23
1784545071,4331,1586800,1263550,942667,0,0,0,0,0,0,778,778,27
1784545074,4334,1587600,1264636,942923,0,0,0,0,0,0,779,779,26
1784545076,4337,1588800,1265734,943562,0,0,0,0,0,0,780,780,25
1784545079,4424,1622000,1291588,963641,0,0,0,0,0,0,781,781,25
1784545082,4424,1622000,1291588,963641,0,0,0,0,0,0,781,781,25
1784545085,4431,1624800,1293832,965283,0,0,0,0,0,0,782,782,24
1784545087,4446,1630400,1298485,968541,0,0,0,0,0,0,783,783,24
1784545089,4447,1630400,1298485,968541,0,0,0,0,0,0,785,785,24
1784545091,4455,1630800,1298966,968700,0,0,0,0,0,0,788,788,22
1784545093,4455,1630800,1298966,968700,0,0,0,0,0,0,788,788,22
1784545094,4483,1634000,1301826,970445,0,0,0,0,0,0,790,790,23
1784545096,4483,1644000,1310010,976276,0,0,0,0,0,0,790,790,24
1784545098,4517,1657200,1320498,984162,0,0,0,0,0,0,792,792,30
1784545099,4522,1659200,1321573,985619,0,0,0,0,0,0,793,793,29
1784545100,4553,1665200,1326683,989025,0,0,0,0,0,0,796,796,39
1784545102,4585,1683200,1341367,999581,0,0,0,0,0,0,797,797,48
1784545104,4618,1696400,1352045,1007356,0,0,0,0,0,0,798,798,51
1784545106,4648,1708000,1360908,1014449,0,0,0,0,0,0,799,799,50
1784545107,4723,1736000,1382794,1031180,0,0,0,0,0,0,800,800,56
1784545109,4723,1736000,1382794,1031180,0,0,0,0,0,0,800,800,66
1784545110,4823,1773600,1412891,1053392,0,0,0,0,0,0,801,801,65
1784545112,4823,1773600,1412891,1053392,0,0,0,0,0,0,801,801,65
1784545113,4923,1806800,1439446,1073048,0,0,0,0,0,0,802,802,64
1784545114,4923,1806800,1439446,1073048,0,0,0,0,0,0,802,802,64
1784545116,5023,1837600,1464053,1091353,0,0,0,0,0,0,803,803,66
1784545117,5023,1837600,1464053,1091353,0,0,0,0,0,0,803,803,66
1784545119,5123,1875200,1494315,1113629,0,0,0,0,0,0,804,804,65
1784545120,5123,1875200,1494315,1113629,0,0,0,0,0,0,804,804,65
1784545121,5223,1913600,1525028,1136391,0,0,0,0,0,0,805,805,64
1784545123,5223,1913600,1525028,1136391,0,0,0,0,0,0,805,805,66
1784545124,5323,1932400,1540179,1147435,0,0,0,0,0,0,806,806,65
1784545126,5423,1971814,1571267,1171105,0,0,0,0,0,0,807,807,66
1784545127,5423,1972400,1571743,1171441,0,0,0,0,0,0,807,807,66
1784545128,5523,1972400,1571743,1171441,0,0,0,0,0,0,808,808,65
1784545130,5523,2006800,1599537,1191688,0,0,0,0,0,0,808,808,65
1784545132,5523,2006800,1599537,1191688,0,0,0,0,0,0,808,808,65
1784545133,5623,2041600,1627067,1212450,0,0,0,0,0,0,809,809,65
1784545134,5623,2041600,1627067,1212450,0,0,0,0,0,0,810,810,64
1784545136,5697,2071200,1651207,1229771,0,0,0,0,0,0,810,810,66
1784545137,5797,2071200,1651207,1229771,0,0,0,0,0,0,811,811,65
1784545139,5797,2111200,1682544,1253634,0,0,0,0,0,0,811,811,65
1784545141,5797,2111200,1682544,1253634,0,0,0,0,0,0,811,811,65
1784545142,5897,2151200,1713517,1277836,0,0,0,0,0,0,812,812,65
1784545144,5897,2151200,1713517,1277836,0,0,0,0,0,0,812,812,66
1784545145,5909,2156000,1717655,1280494,0,0,0,0,0,0,813,813,66
1784545146,5946,2170800,1729899,1289091,0,0,0,0,0,0,814,814,65
1784545148,5946,2170800,1729899,1289091,0,0,0,0,0,0,814,814,65
1784545149,5959,2176000,1733899,1292259,0,0,0,0,0,0,819,819,61
1784545151,5959,2176000,1733899,1292259,0,0,0,0,0,0,819,819,65
1784545152,5959,2176000,1733899,1292259,0,0,0,0,0,0,822,822,65
1784545153,5959,2176000,1733899,1292259,0,0,0,0,0,0,888,888,0
1784545154,5959,2176000,1733899,1292259,0,0,0,0,0,0,888,888,0
1784545156,5959,2176000,1733899,1292259,0,0,0,0,0,0,888,888,0
1784545157,5959,2176000,1733899,1292259,0,0,0,0,0,0,892,892,0
1784545158,5959,2176000,1733899,1292259,0,0,0,0,0,0,900,900,0
1784545159,5959,2176000,1733899,1292259,0,0,0,0,0,0,900,900,0
1784545160,5959,2176000,1733899,1292259,0,0,0,0,0,0,904,904,0
1784545162,5959,2176000,1733899,1292259,0,0,0,0,0,0,908,908,0
1784545163,5959,2176000,1733899,1292259,0,0,0,0,0,0,908,908,0
1784545164,5959,2176000,1733899,1292259,0,0,0,0,0,0,908,908,0
1784545165,5959,2176000,1733899,1292259,0,0,0,0,0,0,913,913,0
1784545166,5959,2176000,1733899,1292259,0,0,0,0,0,0,913,913,0
1784545167,5959,2176000,1733899,1292259,0,0,0,0,0,0,915,915,0
1784545169,5959,2176000,1733899,1292259,0,0,0,0,0,0,924,924,0
1784545170,5959,2176000,1733899,1292259,0,0,0,0,0,0,970,970,0
1784545171,5959,2176000,1733899,1292259,0,0,0,0,0,0,1017,1017,0
